,compound,Bravais_lattice_relax,spacegroup_relax,volume_cell,density,geometry,enthalpy_formation_cell,natoms,energy_atom,eentropy_atom,scintillation_attenuation_length,valence_cell_std,bader_atomic_volumes,bader_net_charges
182,Ce1Ru4Sb12,"BCC
",204,411.012,8.10206,[  8.112579   8.112579   8.112579 109.4712   109.4712   109.4712  ],,17,-4.83436,0.000554052,1.40758,96,"[24.3422 20.0054 20.0054 20.0054 20.0438 25.5301 25.5673 25.5747 25.5222
 25.5673 25.5222 25.5375 25.5673 25.5673 25.5301 25.5222 25.5747]","[ 1.4844 -0.6173 -0.6173 -0.6173 -0.6246  0.0872  0.0781  0.0776  0.0877
  0.0781  0.0877  0.0868  0.0781  0.0781  0.0872  0.0877  0.0776]"
183,As1Y1,"FCC
",225,49.6291,5.48151,[ 4.124934  4.124934  4.124934 60.       60.       60.      ],-3.11238,2,-7.11386,3.5355e-05,2.26018,8,[32.9429 16.6862],[-1.6849  1.6849]
184,Ca1Zn5,"HEX
",191,104.98,5.80475,[  5.375115   5.375115   4.195901  90.        90.       120.0053  ],,6,-0.903721,-0.000319047,2.09923,62,[15.0858 17.0371 17.0371 18.8176 18.7555 18.2471],[ 1.2873 -0.2179 -0.2179 -0.3129 -0.3002 -0.2383]
185,Cu3Sn1,"FCC
",225,59.6639,8.60908,[ 4.38607  4.38607  4.38607 60.      60.      60.     ],,4,-2.51978,-0.000343372,1.39418,37,[13.9411 13.4318 13.4201 18.8619],[-0.0676 -0.0821 -0.0805  0.2301]
186,Al12Mo1,"BCC
",204,218.491,3.18987,[  6.571816   6.571816   6.571816 109.4712   109.4712   109.4712  ],,13,-4.18291,1.93323e-05,3.75911,42,"[15.5978 15.6961 15.7123 15.5991 15.6986 15.5966 15.5966 15.7135 15.5978
 15.6961 15.7123 15.6003 30.6594]","[ 0.2733  0.2586  0.2573  0.2732  0.2583  0.2734  0.2734  0.2572  0.2733
  0.2586  0.2573  0.273  -3.1869]"
187,B5W2,"RHL
",166,59.4831,11.7736,[ 7.377778  7.377778  7.377778 24.23729  24.23729  24.23729 ],-31.666,7,-8.22469,-0.000683626,0.727442,27,,
188,Al4Ca1,"BCT
",139,106.237,2.31341,[  6.41123   6.41123   6.41123 140.3847  140.3847   57.26971],-0.946933,5,-3.58454,-9.0598e-05,5.1413,14,[20.5948 20.6076 25.2259 24.0814 15.7197],[-0.0138 -0.0154 -0.718  -0.5615  1.3088]
189,O2U1,"FCC
",225,42.3843,10.5792,[ 3.913571  3.913571  3.913571 60.       60.       60.      ],,3,-9.33141,-0.00164343,-0.000171661,18,[12.7665 12.6721 16.9456],[-1.2634 -1.2572  2.5205]
190,Ca1Cu1O2,"TET
",123,47.8785,4.70379,[ 3.872777  3.872777  3.192239 90.       90.       90.      ],,4,-5.31631,8.7305e-05,2.53793,25,[11.6205 11.2111 12.5234 12.5234],[ 1.5366  0.9514 -1.244  -1.244 ]
191,Ga1Ti3,"FCC
",225,70.7524,5.00931,[ 4.642502  4.642502  4.642502 60.       60.       60.      ],,4,-4.49055,0.000205993,2.50467,15,[23.8768 15.16   16.6152 15.1004],[-1.5686  0.6667  0.2251  0.6768]
192,Bi1Ce1,"FCC
",225,71.5456,8.10246,[ 4.659785  4.659785  4.659785 60.       60.       60.      ],,2,-5.51157,-1.465e-05,0.973144,9,[45.6456 25.9   ],[-1.3956  1.3956]
193,Nb1Rh3,"CUB
",221,58.7592,11.3499,[ 3.887693  3.887693  3.887693 90.       90.       90.      ],,4,-5.59233,6.65475e-05,1.03177,32,[12.6112 14.9542 15.3619 15.8319],[ 1.4412 -0.3728 -0.476  -0.5922]
194,Ce1Pt3,"CUB
",221,72.0891,16.709,[ 4.161883  4.161883  4.161883 90.       90.       90.      ],,4,-4.59103,0.0042374,0.476559,34,[16.3796 19.3703 18.5724 17.7668],[ 1.6549 -0.714  -0.5518 -0.3891]
195,Er1Fe2Ge2,"BCT
",139,89.0218,7.91145,[  6.348598   6.348598   6.348598 143.7333   143.7333    52.22629 ],,5,-5.19008,-0.000494442,1.3644,38,,
196,Hg4Pt1,"BCC
",229,128.058,12.9341,[  5.499744   5.499744   5.499744 109.4712   109.4712   109.4712  ],,5,-1.06311,0.00020637,0.56351,58,[26.0048 26.0013 26.0013 26.219  23.8313],[ 0.1746  0.1746  0.1746  0.1525 -0.6763]
197,Rh3Sc1,"CUB
",221,60.9416,9.63689,[ 3.93524  3.93524  3.93524 90.      90.      90.     ],,4,-4.84554,-0.00013983,1.21666,30,[17.8216 16.638  16.9951  9.4869],[-0.7123 -0.4532 -0.5323  1.6978]
198,Ag5Ba1,"HEX
",191,142.295,7.89653,[  5.934618   5.934618   4.665421  90.        90.       120.0037  ],,6,-0.815689,-0.000240638,1.43356,57,[21.7117 21.8174 22.8968 22.8712 23.6078 29.3904],[-0.2497 -0.259  -0.2133 -0.2108 -0.2826  1.2154]
199,K2Mo6Se6,"HEX
",176,340.951,5.49175,[  9.313238   9.313264   4.539087  90.        90.       120.0022  ],,14,-5.81065,-0.000320514,2.23271,74,"[22.8944 22.8944 15.4901 15.4641 15.4831 15.4901 15.4641 15.4831 33.7604
 33.7303 33.6481 33.7544 33.7403 33.6541]","[ 0.8229  0.8229  0.5888  0.5928  0.5859  0.5888  0.5928  0.5859 -0.8681
 -0.863  -0.8591 -0.8678 -0.8633 -0.8593]"
200,Co1O1,"BCT
",139,19.3791,6.42077,[  2.984612   2.984612   2.984612 117.7926   117.7926    93.86792 ],,2,-5.39067,0.00065917,1.90466,15,[ 9.0943 10.2848],[ 1.225 -1.225]
201,Al1C1La3,"CUB
",221,144.698,5.22968,[ 5.249936  5.249936  5.249936 90.       90.       90.      ],,5,-5.5573,5.8184e-05,2.06163,16,[43.9546 17.7168 27.6755 27.6755 27.6755],[-1.6109 -1.7686  1.1265  1.1265  1.1265]
202,Pr1,"BCT
",139,36.6748,6.37993,[  3.635954   3.635954   3.635954 106.4655   106.4655   115.666   ],,1,-4.36414,-0.00286023,1.58972,5,[36.6748],[0.]
203,Mo1Si2,"BCT
",139,41.0366,6.15515,[  4.554374   4.554374   4.554374 138.5074   138.5074    60.12674 ],,3,-6.77447,5.17e-06,1.91519,14,[14.6885 13.0926 13.2554],[ 0.1751 -0.0623 -0.1128]
204,Bi1Pr1,"FCC
",225,74.4595,7.80294,[ 4.722208  4.722208  4.722208 60.       60.       60.      ],,2,-5.16689,0.000793295,1.00147,10,[48.0997 26.3599],[-1.3113  1.3113]
205,Nd1Ru4Sb12,"BCC
",204,411.63,8.10652,[  8.11664   8.11664   8.11664 109.4712  109.4712  109.4712 ],,17,-5.0042,-0.000253928,1.40177,98,"[23.1107 20.1174 20.1174 20.1174 20.1508 25.663  25.6699 25.6783 25.6609
 25.6873 25.6574 25.6574 25.6699 25.6699 25.6574 25.6748 25.6699]","[ 1.4872 -0.632  -0.632  -0.632  -0.6385  0.0895  0.0853  0.0848  0.0896
  0.0842  0.0898  0.0898  0.0853  0.0853  0.0898  0.0888  0.0853]"
206,Te4Ti3,"MCLC
",12,200.192,5.42558,[ 7.842022  7.842022  7.096355 64.54994  64.54994  30.82768 ],,7,-4.80551,0.000150571,2.16209,36,[38.9606 38.9611 40.6984 40.664  14.2516 13.3257 13.3253],[-1.0837 -1.0837 -0.9918 -0.9908  1.3395  1.4053  1.4053]
207,Tb1,"FCC
",225,31.8244,8.29244,[ 3.557065  3.557065  3.557065 60.       60.       60.      ],,1,-4.61051,-5.478e-05,1.13214,11,[31.8244],[-0.]
208,Hg2Pt1,"TET
",123,68.6507,14.4227,[ 4.802139  4.802139  2.976977 90.       90.       90.      ],,3,-1.47652,0.000113127,0.508034,34,[23.7864 23.7846 21.0797],[ 0.2213  0.2213 -0.4426]
209,Os1Si1,"CUB
",221,25.6826,14.1135,[ 2.95039  2.95039  2.95039 90.      90.      90.     ],,2,-7.14121,-0.00019777,0.573675,12,[16.9759  8.7067],[-1.0411  1.0411]
210,Au2Nb3,"BCT
",139,90.4638,12.3471,[  8.063486   8.063486   8.063486 155.4416   155.4416    35.00759 ],,5,-5.69262,-0.00024942,0.708354,37,[20.0593 20.0448 17.4871 16.3527 16.5199],[-0.7735 -0.7707  0.1718  0.7076  0.6647]
211,O2Pb1,"FCC
",225,39.5445,10.0444,[ 3.82414  3.82414  3.82414 60.      60.      60.     ],-3.09575,3,-5.27109,0.000153693,0.731073,16,[12.4139 12.341  14.7897],[-1.0245 -1.0202  2.0448]
212,Ca2Si1,"FCC
",225,91.89,1.9561,[ 5.065174  5.065174  5.065174 60.       60.       60.      ],-1.34811,3,-3.59162,0.0018942,5.91821,8,[18.1691 18.1683 55.5526],[ 1.2594  1.2595 -2.5189]
213,Ni1Si2,"FCC
",225,39.8889,4.78156,[ 3.83521  3.83521  3.83521 60.      60.      60.     ],,3,-4.60539,4.675e-05,2.45956,18,[13.1235 13.384  13.3814],[-0.8879  0.4439  0.444 ]
214,C1Zr1,"FCC
",225,26.3499,6.50549,[ 3.34014  3.34014  3.34014 60.      60.      60.     ],-1.62397,2,-9.69447,-3.238e-05,1.85823,8,[14.03   12.3199],[-1.8202  1.8202]
215,Co1Sc1,"CUB
",221,36.2889,4.75385,[ 3.310736  3.310736  3.310736 90.       90.       90.      ],,2,-4.71913,0.000581315,2.60445,12,[23.7636 12.5252],[-1.4288  1.4288]
216,Eu1Ru4Sb12,"BCC
",204,417.372,8.02572,[  8.154204   8.154204   8.154204 109.4712   109.4712   109.4712  ],,17,-4.80236,0.000473208,1.40961,101,"[22.0261 20.4459 20.453  20.4459 20.4459 26.1449 26.1118 26.0949 26.1442
 26.1442 26.0949 26.0949 26.1618 26.0949 26.1442 26.1618 26.0949]","[ 1.4641 -0.6028 -0.6072 -0.6028 -0.6028  0.0734  0.0847  0.0857  0.0734
  0.0734  0.0857  0.0857  0.0723  0.0857  0.0734  0.0723  0.0857]"
217,B6Eu1,"CUB
",221,72.3765,4.97452,[ 4.167406  4.167406  4.167406 90.       90.       90.      ],,7,-6.67586,0.000459296,2.07321,27,[ 8.7961  9.3637  9.2444  8.7951  9.3506  8.8943 17.9323],[-0.219  -0.3454 -0.3002 -0.1944 -0.3397 -0.2422  1.641 ]
218,Cu1Ti1,"CUB
",221,31.0257,5.96475,[ 3.142532  3.142532  3.141679 90.       90.       90.      ],,2,-3.65006,-0.000258685,2.08472,15,[18.4438 12.5819],[-1.1681  1.1681]
219,Ca1Ga2,"HEX
",191,69.318,4.30129,[  4.31632    4.316585   4.296061  90.        90.       120.002   ],,3,-2.74741,0.000119793,2.87494,8,[15.8746 26.3522 27.0913],[ 1.3142 -0.6089 -0.7053]
220,Cu1Zn1,"CUB
",221,25.3484,8.44577,[ 2.937538  2.937538  2.937538 90.       90.       90.      ],,2,-1.45948,0.00022011,1.4589,23,[13.1947 12.1537],[-0.2319  0.2319]
