,compound,Bravais_lattice_relax,spacegroup_relax,volume_cell,density,geometry,enthalpy_formation_cell,natoms,energy_atom,eentropy_atom,scintillation_attenuation_length,valence_cell_std,bader_atomic_volumes,bader_net_charges
36,Al1La3,"CUB
",221,128.233,5.74561,[ 5.042743  5.042743  5.042743 90.       90.       90.      ],,4,-4.67064,-0.000184585,1.87294,12,[34.7872 30.8001 30.7993 31.8368],[-1.2544  0.4526  0.4526  0.3492]
37,Al13Os4,"MCLC
",12,262.665,7.02717,[ 9.097704  9.097704  7.801887 64.9726   64.9726   26.85444 ],,17,-5.21367,-0.000121081,1.24204,71,"[ 7.0327  9.0772  9.0778  8.9376  8.9376  9.6735  9.6735  7.2878  7.2878
  7.4531  7.4068  7.3634  7.3634 40.5395 40.5395 37.5007 37.4907]","[ 1.7309  1.402   1.402   1.4831  1.4831  1.4436  1.4436  1.732   1.732
  1.7106  1.7158  1.7744  1.7744 -5.5249 -5.5249 -4.8901 -4.8876]"
38,Ba1Pt1Si3,"BCT
",107,99.4777,6.95541,[  5.94831   5.94831   5.94831 136.2066  136.2066   63.66107],,5,-4.9547,-0.00037166,1.31072,24,,
39,La1Ni2P2,"BCT
",139,77.3271,6.83381,[  5.581969   5.581969   5.581969 137.8948   137.8948    61.0641  ],,5,-4.86941,-0.000405896,1.65989,33,,
40,Ge1,"FCC
",225,19.3525,6.22858,[ 3.013589  3.013589  3.013589 60.       60.       60.      ],0.329471,1,-4.17456,-0.00060197,2.03197,4,,
41,C1Mo1,"HEX
",187,21.1785,8.46408,[  2.933277   2.933277   2.842253  90.        90.       120.0008  ],,2,-8.68432,-1.3005e-05,1.39976,10,[ 9.5403 11.6382],[-1.262  1.262]
42,Ga41Mo8,"RHL
",148,867.747,6.94021,[ 9.57662  9.57662  9.57662 94.97431 94.97431 94.97431],,49,-3.45715,-2.26639e-05,1.79473,171,"[20.2258 20.4217 16.7599 16.7599 16.7599 17.1666 17.1666 17.1666 17.1666
 17.1666 17.1666 17.26   17.26   17.26   17.26   17.26   17.26   17.6577
 17.6582 17.6577 17.6582 17.6577 17.6577 18.0042 18.0042 18.0047 18.0042
 18.0042 18.0042 18.4632 18.4632 18.4632 18.4632 18.4632 18.4632 18.1679
 18.1679 18.1679 18.1679 18.1679 18.1679 17.4775 17.4775 16.9241 16.9241
 16.9241 16.9241 16.9241 16.9241]","[-0.0473 -0.3995 -0.018  -0.018  -0.018   0.0525  0.0525  0.0525  0.0525
  0.0525  0.0525  0.0497  0.0497  0.0497  0.0497  0.0497  0.0497  0.0007
  0.0006  0.0007  0.0006  0.0007  0.0007  0.0142  0.0142  0.0142  0.0142
  0.0142  0.0142 -0.0165 -0.0165 -0.0165 -0.0165 -0.0165 -0.0165 -0.009
 -0.009  -0.009  -0.009  -0.009  -0.009   0.0233  0.0233 -0.0159 -0.0159
 -0.0159 -0.0159 -0.0159 -0.0159]"
43,B12Sc1,"BCT
",139,102.312,2.83501,[  5.247682   5.247682   5.247682 119.9174   119.9174    90.14314 ],,13,-6.77665,3.03815e-05,4.40812,39,"[7.8317 7.5968 7.5968 7.8317 7.5872 7.5809 7.8605 7.5798 7.8794 7.6231
 7.7813 7.775  9.7883]","[-0.1872 -0.1207 -0.1207 -0.1872 -0.1114 -0.1098 -0.2018 -0.1147 -0.2039
 -0.126  -0.1722 -0.1706  1.8262]"
44,Ag1La1,"CUB
",221,57.373,7.14234,[ 3.856878  3.856878  3.856878 90.       90.       90.      ],,2,-2.75942,0.00021656,1.5398,14,[30.0554 27.3176],[-1.1183  1.1183]
45,Mo6Se8,"RHL
",148,312.577,6.41379,[ 6.790159  6.790159  6.790159 91.8342   91.8342   91.8342  ],,14,-5.94442,0.000161762,1.92697,84,"[14.8595 14.8607 14.8691 14.8607 14.8667 14.8643 29.7465 29.7691 27.314
 27.3128 27.314  27.3128 27.314  27.3128]","[ 0.795   0.7948  0.7922  0.7948  0.7931  0.7938 -0.5031 -0.5032 -0.6263
 -0.6262 -0.6263 -0.6262 -0.6263 -0.6262]"
46,Tl3Y1,"CUB
",221,108.328,10.7611,[ 4.767021  4.767021  4.767021 90.       90.       90.      ],-0.935694,4,-3.62151,-0.000415777,0.689593,12,[28.5515 29.6408 30.7901 19.3458],[-0.3606 -0.4673 -0.579   1.4069]
47,Au1Lu1,"CUB
",221,43.9242,14.0608,[ 3.528319  3.528319  3.528319 90.       90.       90.      ],,2,-3.73691,0.000192555,0.556919,28,[27.96   15.9641],[-1.5474  1.5474]
